id,Name,href,comunidad,provincia,municipio,descripcion,direccion,latitude,longitude
10,Ermita de San Froilán,/es/lugares-interes/ermita-san-froilan/,Castilla y León,León,Vega de Valcarce,"Interesante edificio desde el punto de vista histórico. Señala la gruta en la que la tradición cuenta que San Froilán, uno de los patronos de León, pasaba la noche cuando su asno fue devorado por un lobo.","['24524', 'Ruitelán,', 'Vega de Valcarce,', 'León', '(Castilla y León)']",42.6782223,-6.967722599999999
11,Ermita de San Juan,/es/lugares-interes/ermita-san-juan/,Castilla y León,León,Ponferrada,,"['24490', 'Columbrianos,', 'Ponferrada,', 'León', '(Castilla y León)']",42.575757200000005,-6.608822900000001
12,Ermita de San Julián de Boada,/es/lugares-interes/ermita-san-julian-boada/,Cataluña,Girona,Palau-Sator,"Está situada en el centro de la población. Es uno de los monumentos prerrománicos más interesantes de la comarca, fue declarada Monumento Histórico-Artístico en 1931. En la actualidad es monumento cultural de interés nacional. En la iglesia no se practica culto desde el siglo XVIII. Abrió sus puertas en 1982, tras haber sido reformada por la Diputación de Girona. Tiene nave única, dividida en dos partes por un arco de herradura.",['Veïnat Sant Juliá de Boada s/n'],41.985288,3.121526000000017
13,Ermita de San Miguel de Arretxinaga,/es/lugares-interes/ermita-san-miguel-arretxinaga/,País Vasco,Bizkaia,Markina-Xemein,"Pintoresca ermita barroca que cuenta en su interior con tres grandes rocas de más de 40 millones de años que, sujetas entre sí, forman una especie de pequeña capilla",['Avenida Arretxinaga s/n'],43.270604,-2.4971553
14,Ermita de San Nicolás,/es/lugares-interes/ermita-san-nicolas/,Castilla y León,Burgos,Itero del Castillo,,"['09107', 'Itero del Castillo,', 'Burgos', '(Castilla y León)']",42.289404299999994,-4.2444138
15,Ermita de San Pedro,/es/lugares-interes/ermita-san-pedro/,Aragón,Zaragoza,Artieda,Es un templo levantado en el siglo XVIII y su construcción se ha mantenido apenas sin modificaciones hasta la actualidad. La ermita se encuentra en buen estado de conservación. En la iglesia parroquial de Artieda se custodian un San Pedro y una talla de San Juan Bautista que proceden de este templo.,"['Artieda,', 'Zaragoza', '(Aragón)']",42.5854341,-0.9840556
16,Ermita de San Pelayo,/es/lugares-interes/ermita-san-pelayo/,Castilla y León,Palencia,Cervera de Pisuerga,"El templo, de dimensiones reducidas, consta de una nave (—reconstruida más tarde con aparejo y mampostería—) con cubierta de madera, y un delicioso e imprevisto ábside semicircular, construido mediante sillares muy bien labrados. Su lado exterior está dividido en cinco segmentos gracias a cuatro semicolumnas adosadas. Lo imprevisto reside en el friso-cornisa, decorado a partes iguales mediante un ajedrezado jaqués y, sorprendentemente, una arquería de arcos ciegos propia del estilo románico-lombardo de las lejanas iglesias del Pirineo oriental. La sencilla portada —arco de medio punto peraltado, que descansa sobre dos columnas con capiteles arcaicos de inspiración mozárabe— nos permite acceder a la segunda sorpresa que esconde esta ermita: los únicos restos de pintura mural románica (siglo XII) de toda Castilla la Vieja.",['A 2 km. del casco urbano'],42.7851372,-4.421714800000019
17,Ermita de San Roque,/es/lugares-interes/ermita-san-roque-calzada-coto/,Castilla y León,León,Calzada del Coto,,"['24342', 'Calzada del Coto,', 'León', '(Castilla y León)']",42.3877408,-5.0807657
18,Ermita de San Roque,/es/lugares-interes/ermita-san-roque-castro-urdiales/,Cantabria,Cantabria,Castro-Urdiales,,"['39798', 'Islares,', 'Castro-Urdiales,', 'Cantabria', '(Cantabria)']",43.405357200000005,-3.2992568999999996
19,Ermita de San Roque,/es/lugares-interes/ermita-san-roque-deba/,País Vasco,Gipuzkoa,Deba,"Los primeros datos de este templo datan de principios del siglo XVII. En lo que a la arquitectura se refiere, cabe destacar su bello pórtico de madera, así como el coro ubicado sobre el atrio de entrada.",['Antigua calzada a Itziar'],43.2955615,-2.3538945
20,Ermita de San Roque,/es/lugares-interes/ermita-san-roque-villambistia/,Castilla y León,Burgos,Villambistia,,"['09258', 'Villambistia,', 'Burgos', '(Castilla y León)']",42.406312299999996,-3.2621683999999997
21,Ermita de San Saturio,/es/lugares-interes/ermita-san-saturio/,Castilla y León,Soria,Soria,"Su interior guarda pinturas al fresco del pintor y sacerdote Antonio Zapata, discípulo de Lucas Giordano y Palomino. A través de estos frescos, se narra la vida de San Saturio. También conserva el sepulcro del santo. La ermita se encuentra en la denominada Ruta Machadiana.","['42000', 'Soria', '(Castilla y León)']",41.7483157,-2.463405
22,Ermita de San Sebastián,/es/lugares-interes/ermita-san-sebastian/,Castilla y León,León,Molinaseca,,"['24413', 'Riego de Ambros,', 'Molinaseca,', 'León', '(Castilla y León)']",42.522315,-6.479971
23,Ermita de San Segundo,/es/lugares-interes/ermita-san-segundo/,Castilla y León,Ávila,Ávila,"Es un edificio románico construido en el siglo XII. Exteriormente destaca la portada sur, compuesta por arquivoltas y capiteles con motivos zoomórficos y vegetales. En el interior del templo se conserva una escultura de San Segundo, en alabastro, realizada por Juan de Juni. La ermita fue declarada Monumento Nacional en 1923.","['Puerta del Puente, s/n.']",40.65845327618617,-4.7079643288360655
24,Ermita de San Vicente,/es/lugares-interes/ermita-san-vicente/,Castilla y León,Burgos,Hontanas,Son los restos de la iglesia de un antiguo poblado medieval. Conserva un paredón esquinal.,"['9227', 'Hontanas,', 'Burgos', '(Castilla y León)']",42.3130262,-4.045938
25,Ermita de Santa Águeda,/es/lugares-interes/ermita-santa-agueda/,Aragón,Huesca,Bailo,"Ermita de pequeñas dimensiones, del siglo XIX y de nave única rectangular rematada en testero recto.","['Arrés,', 'Bailo,', 'Huesca', '(Aragón)']",42.5556495,-0.8268385
26,Ermita de Santa Ana,/es/lugares-interes/ermita-santa-ana-castro-urdiales/,Cantabria,Cantabria,Castro-Urdiales,Se han descubierto restos romanos en el subsuelo.,['Ermita de Santa Ana'],43.382775099999996,-3.21957
27,Ermita de Santa Ana,/es/lugares-interes/ermita-santa-ana-mianos/,Aragón,Zaragoza,Mianos,Ermita de factura popular levantada en el siglo XVII. Posee una única nave rectangular. Preside el templo el retablo barroco de Santa Ana del sigo XVIII. Sobre el altar está colocada una talla románica del siglo XII de la Virgen con el Niño.,"['Mianos,', 'Zaragoza', '(Aragón)']",42.5843728,-0.9553697
28,Ermita de Santa Cecilia,/es/lugares-interes/ermita-santa-cecilia/,Castilla y León,Palencia,Aguilar de Campoo,"Es una sencilla ermita rural, de dimensiones reducidas (19 × 9 metros), construida con buena sillería. Consta de una nave, presbiterio y ábside semicircular. La portada, en el lado meridional, está protegida por un patio abierto. Esto, junto a la torre prismático-cúbica adosada a ese mismo muro, le confieren un aspecto de fortaleza. Posee un catálogo escultórico muy notable. La portada presenta siete arquivoltas apuntadas y decoradas con motivos vegetales, baquetones y escocias. Los capiteles sobre los que descansan forman un ‘friso continuo’, con escenas bíblicas y fantásticas.  También son destacables los bajorrelieves de los canecillos de la cornisa (algunos, con motivos eróticos), de la arquivolta y capiteles de la ventana del ábside, y del doble arco triunfal apuntado del interior (dientes de sierra, escena de Sansón y el león, animales fantásticos).",['Camino del Cementerio'],42.773857,-4.367967
29,Ermita de Santa María de Javierremartes,/es/lugares-interes/ermita-santa-maria-javierremartes/,Aragón,Huesca,Canal de Berdún,Se trata de un templo románico de finales del siglo XII que en su origen fue la iglesia parroquial de Javierremartes. Ha sufrido distintas transformaciones a lo largo de su historia que han contribuido a perfilar el aspecto que presenta hoy en día.,"['Martes,', 'Canal de Berdún,', 'Huesca', '(Aragón)']",42.57285770000001,-0.8912085
30,Ermita de Santa María de Peñalba,/es/lugares-interes/ermita-santa-maria-penalba/,La Rioja,La Rioja,Arnedillo,"La ermita, situada en un altozano cerca de la localidad de Arnedillo, es un edificio de mampostería, posiblemente del siglo X, con dos naves de dos tramos que se articulan en torno a un pilar central del que parten cuatro arcos de medio punto, un diseño que recuerda al de una palmera. Posee también dos ábsides, uno en forma de herradura y otro cuadrangular, que se abren a la nave mediante dos arcos de herradura de tradición visigótica enmarcados por un alfiz mozárabe. En su interior guarda una talla románica del siglo XIII de la Virgen de la Anunciación. Tenía también un frontal de altar del siglo XII, con una pintura románica que representa a la infancia de Jesús (escenas de la Epifanía y la Presentación en el Templo).",['Periferia sur este de la localidad'],42.2121979,-2.2358943000000413
31,Ermita de Santa María La Real del Campo,/es/lugares-interes/ermita-santa-maria-real-campo/,Castilla y León,Burgos,Castildelgado,Se encuentra dentro del casco urbano y posee portada y espadaña barrocas del siglo XVIII.,"['Castildelgado,', 'Burgos', '(Castilla y León)']",42.4372362,-3.0845109
32,Ermita de Santa María de la Vega,/es/lugares-interes/ermita-santa-maria-vega/,Castilla y León,Zamora,Toro,"Está situada a las afueras de la ciudad, en medio de un bosquecillo de pinos y junto al río Duero. Su diseño es el característico en este tipo de edificios románico-mudéjares. Construida en ladrillo visto, consta de una nave y ábside semicircular, precedido de un tramo recto. Se cubre con la tradicional armadura de par y nudillo en la nave, y por bóvedas en el resto. Su perímetro está adornado, tanto en el exterior como en el interior, con las clásicas arquerías ciegas de medio punto. En este caso son muy estilizadas, ya que se concibieron dobladas. Posee dos portadas, ambas con arquivoltas apuntadas y rematadas mediante un friso de esquinillas. En su interior, cabe destacar las pinturas murales de finales del siglo XV que decoran los muros del ábside.",['Periferia sureste de la localidad'],41.526306,-5.3948339999999995
33,Ermita de Santa María,/es/lugares-interes/ermita-santa-maria/,Castilla y León,Burgos,Hornillos del Camino,Este edificio corresponde a los restos de la antigua iglesia del priorato de Nuestra Señora de Rocamador.,"['09230', 'Hornillos del Camino,', 'Burgos', '(Castilla y León)']",42.3383047,-3.9253568999999997
34,Ermita de Santiago,/es/lugares-interes/ermita-santiago/,País Vasco,Gipuzkoa,Zumaia,"Los primeros documentos de la ermita Santiago se hallaron en el siglo XV. Sin embargo, alguna de sus características deja entrever que data de épocas anteriores, como por ejemplo, una ventana abocinada de estilo románico.","['Casa Santiago-Etxea, s/n']",43.297258299999996,-2.2568485000000003
35,Ermita del Santo Cristo de la Era,/es/lugares-interes/ermita-santo-cristo-era/,Castilla y León,Palencia,Villada,,"['34340', 'Villada,', 'Palencia', '(Castilla y León)']",42.25139303305058,-4.9603271484375
36,Ermita del Santo Cristo de la Vera Cruz,/es/lugares-interes/ermita-santo-cristo-vera-cruz/,Castilla y León,León,"Burgo Ranero, El",Vestigios antes de llegar a El Burgo Ranero.,"['24343', 'Burgo Ranero, El,', 'León', '(Castilla y León)']",42.4230213,-5.221506
37,Ermita de la Virgen de Gracia,/es/lugares-interes/ermita-virgen-gracia/,Comunidad de Madrid,Madrid,San Lorenzo de El Escorial,"La ermita de la Virgen de Gracia es una pequeña construcción situada en el Paraje de la Herrería, un espacio natural cubierto por un espeso pinar. Cada año, el segundo domingo de septiembre, se celebra una romería que traslada la imagen de la Virgen en carretas de bueyes hasta este lugar. Cerca de la ermita se encuentra la Silla de Felipe II, desde donde se dice que el monarca supervisaba los avances de la obra del Monasterio de El Escorial. El Paraje de la Herrería, donde se encuentra la ermita, es un espacio de alto valor botánico y paisajístico.","['Finca de la Herrería, s/n.']",40.57292273107667,-4.154178327991069
38,Ermita de la Virgen de Guadalupe,/es/lugares-interes/ermita-virgen-guadalupe/,Galicia,Lugo,Mondoñedo,,"['Grobe-Mondoñedo,', 'Mondoñedo,', 'Lugo', '(Galicia)']",43.4280961,-7.3628505
39,Ermita de la Virgen de la Oca,/es/lugares-interes/ermita-virgen-oca/,Castilla y León,Burgos,Villafranca Montes de Oca,"Aunque su origen se sitúa en el siglo XII, posee indicios de edificaciones anteriores. Se trata de un templo que alberga a la Virgen de Oca y próximo a él se encuentra el pozo de San Indalecio, lugar donde según la tradición el santo obró un milagro.","['09257', 'Villafranca Montes de Oca,', 'Burgos', '(Castilla y León)']",42.3865073,-3.3093468
40,Ermita de la Virgen de Perales,/es/lugares-interes/ermita-virgen-perales/,Castilla y León,León,Bercianos del Real Camino,Es un templo de gran veneración en la comarca. Se trata de un sencillo edificio de ladrillo con espadaña que estuvo adscrito en siglo XII al Hospital del Cebreiro. Celebra una romería cada 8 de septiembre.,"['24325', 'Bercianos del Real Camino,', 'León', '(Castilla y León)']",42.387603999999996,-5.1443884
41,Ermita de la Virgen del Río,/es/lugares-interes/ermita-virgen-rio/,Castilla y León,Palencia,Villada,,"['Ctra. de Carrión, 42']",42.248851700720955,-4.96307373046875
42,Escalinata,/es/lugares-interes/escalinata/,Aragón,Teruel,Teruel,"Es una obra de comunicación de época modernista, fue construida en 1921 junto al Viaducto siendo estas dos construcciones las vías de acceso y expansión de la ciudad medieval a la moderna. La escalinata tiene el famoso mural de los Amantes.",['Paseo del Óvalo s/n'],40.3411490223357,-1.10791714307838
43,"Escultura "" Monumento a Fernando Villamil""",/es/lugares-interes/escultura-monumento-fernando-villamil/,Principado de Asturias,Asturias,Castropol,"El monumento levantado en recuerdo del marino y escritor Fernando Villamil (1845-1898), que se significó como militar en Cuba. Primero en tierra durante las insurrecciones y luego al mando de un destructor, en la batalla naval de Santiago de Cuba contra los americanos.","['Parque De Loriente, s/n']",43.5281233,-7.0301186
44,Escultura de troncos,/es/lugares-interes/escultura-troncos/,Castilla y León,León,Vega de Valcarce,,"['24524', 'Vega del Valcarce,', 'Vega de Valcarce,', 'León', '(Castilla y León)']",42.6640745,-6.9459352
45,Estación del Norte,/es/lugares-interes/estacion-norte/,Comunitat Valenciana,Valencia-València,Valencia,"La Estación del Norte es uno de los mejores de arquitectura civil de la ciudad. Tanto en el exterior como en los acabados del interior, muestra un estilo homogéneo y singular, inscrito dentro del modernismo. Las fachadas son de carácter simétrico, con numerosos elementos ornamentales de tipo floral y colorista. En la fachada principal destacan el cuerpo del centro, que marca el acceso, y los dos torreones de los extremos. En el interior llama la atención la decoración exuberante, en la cual sobresalen en techos, suelos y paredes los trabajos de forja y de madera, la cerámica de colores y los mosaicos de gran calidad.",['Calle Xátiva 24'],39.46732263662569,-0.37685830613440097
46,Estación Rupestre de Siega Verde,/es/lugares-interes/estacion-rupestre-siega-verde/,Castilla y León,Salamanca,Castillejo de Martín Viejo,"El yacimiento rupestre de Siega Verde, en la provincia de Salamanca (Castilla y León) conserva 645 grabados ejecutados en rocas erosionadas por el río. Fueron descubiertos a finales de los años 80 y suponen un testimonio de enorme valor, ya que han llegado íntegros hasta nuestros días. La mayoría de los grabados representan animales, aunque también se identifican figuras geométricas y esquemáticas. Desde 2010 forman parte de la declaración de Patrimonio de la Humanidad del sitio de arte rupestre prehistórico del Valle del Côa y Siega Verde.","['Siega Verde,', 'Castillejo de Martín Viejo,', 'Salamanca', '(Castilla y León)']",40.6971447,-6.662221400000001
47,Ex colegiata Santa María del Manzano,/es/lugares-interes/ex-colegiata-santa-maria-manzano/,Castilla y León,Burgos,Castrojeriz,"Se comenzó a edificar en 1214 según los cánones del estilo románico-ojival, gótico de transición. La reforma más profunda se hizo en el siglo XVIII, con la construcción de la capilla de la Virgen del Manzano, la cripta para enterramiento de los condes, un nuevo ábside y la elevación de la torre. Actualmente alberga el museo de Arte Sacro, que contiene tallas medievales, pinturas flamencas, pergaminos y piezas de orfebrería.",['Ex colegiata Santa María del Manzano'],42.2882823,-4.1388362
48,Fábrica de Astra-Unceta y cía,/es/lugares-interes/fabrica-astra-unceta-cia/,País Vasco,Bizkaia,Gernika-Lumo,"Obra del arquitecto bilbaíno Ricardo de Bastida y Bilbao, la empresa Unceta y cía se especializó en la fabricación de la pistola denominada Campogiro. El edificio de estética déco, versión de la arquitectura moderna, cuenta con elementos del cubismo, del constructivismo ruso y del futurismo italiano.",['Goiko Ibarra 1'],43.31723289999999,-2.6789581
49,Real Fábrica de Tabacos. Universidad de Sevilla,/es/lugares-interes/real-fabrica-tabacos-universidad-sevilla/,Andalucía,Sevilla,Sevilla,"De las cigarreras que en sus naves trabajaron quedan recuerdos en los lienzos que se encuentran dentro de la Real Fábrica de Tabacos. Se puede destacar de todos ellos, el realizado por Gonzalo Bilbao, cuyas obras costumbristas más conocidas están en el Museo de Bellas Artes de Sevilla, entre ellas las de las cigarreras. Alrededor de la fábrica se cavó un foso jalonado por varias garitas, lo que induce a creer que debió tener carácter defensivo. Hoy en día es la sede central de la Universidad hispalense.",['Edificio Rectorado.'],37.383402774195076,-5.9905969912865595
50,Facultad de Geografía e Historia de la Universidad de Santiago de Compostela,/es/lugares-interes/facultad-geografia-e-historia-universidad-santiago-compostela/,Galicia,A Coruña,Santiago de Compostela,"El aspecto actual del edificio se remonta a finales del siglo XVIII, y fue proyectado por el arquitecto Melchor de Prado. Posteriormente se incorporó un antiguo colegio de jesuitas y se le añadió un nuevo piso. En la actualidad, es la obra más suntuosa de la afamada Universidad Compostelana y entre sus salas destacan el Paraninfo (decorado con frescos de Fenollera y González), el Rectorado (con una magnífica sillería del siglo XVII) y las Bibliotecas. Hoy en día, sólo alberga las Facultades de Geografía e Historia y el Instituto de la Lengua Gallega.","['Plaza de la Universidad, 1']",42.8789586820398,-8.5421728961713
51,Herrería de Compludo,/es/lugares-interes/ferreria-medieval-ponferrada/,Castilla y León,León,Ponferrada,Se trata de una clara muestra de la industria popular. La originalidad principal de la misma es el ingenioso y rudimentario sistema de aprovechamiento hidráulico para las actividades de la forja.,"['24414', 'Compludo,', 'Ponferrada,', 'León', '(Castilla y León)']",42.47646829999999,-6.4633329
52,Ferrería medieval de la Yseca,/es/lugares-interes/ferreria-medieval-yseca/,Cantabria,Cantabria,Guriezo,"La relevancia histórica de Guriezo ha venido acompañada de la productividad en la industria del hierro, por lo que algunas de las ferrerías más antiguas del Cantábrico se encuentran a lo largo de Agüera.","['39788', 'La Magdalena,', 'Guriezo,', 'Cantabria', '(Cantabria)']",43.35416729999999,-3.3345504
53,Ferrería de Portela,/es/lugares-interes/ferreria-portela/,Castilla y León,León,Vega de Valcarce,"Situada a cinco kilómetros de la localidad, es una de las mejor conservadas del Bierzo. La consturcción la llevó a cabo Nemesio Fernández y se conservan en muy buen estado desde la casa mansión hasta la carbonera o la fragua.","['24524', 'La Portela de Valcarce,', 'Vega de Valcarce,', 'León', '(Castilla y León)']",42.660925299999995,-6.9207291
54,Fonte da Gracia,/es/lugares-interes/fonte-da-gracia/,Galicia,Lugo,Lourenzá,,"['Lourenzá,', 'Lugo', '(Galicia)']",43.471098,-7.297891
55,Fonte Vella,/es/lugares-interes/fonte-vella/,Galicia,Lugo,Mondoñedo,,['Nosa Señora do Carme'],43.4280961,-7.3628505
56,Formaciones del Jurásico Superior,/es/lugares-interes/formaciones-jurasico-superior/,Principado de Asturias,Asturias,Ribadesella,"Se encuentran evidencias de la presencia de dinosaurios justamente donde afloran las formaciones sedimentarias de la Era Secundaria, formaciones que constituían antes el propio suelo donde pisaban estos animales.","['33560', 'Tereñes,', 'Ribadesella,', 'Asturias', '(Principado de Asturias)']",43.4713463,-5.0947674
57,Foro Romano,/es/lugares-interes/foro-romano/,Cataluña,Tarragona,Tarragona,"Es un conjunto monumental compuesto por una plaza de planta rectangular. En ella se ubicaban las tiendas y diferentes dependencias, entre las que destaca la Casa de la Curia.",['Calle Lérida s/n'],41.11461383517657,1.2486492068757205
58,La Fortaleza de Escalona,/es/lugares-interes/fortaleza-escalona/,Castilla-La Mancha,Toledo,Escalona,"Fue construido en el siglo XV, con trazas mudéjares, sobre una antigua fortaleza medieval. Está rodeado por un muro almenado con torres de grandes dimensiones. En su interior conserva la plaza de armas y el palacio de planta cuadrada. El patio tiene forma de claustro, del que sólo se conservan algunos pilares y la escalera de estilo gótico. Es de especial mención la decoración mudéjar de estuco coloreado, que todavía se conserva y que pertenecía a la llamada Sala Rica. También existía un jardín.",['Carretera de Toledo a Ávila'],40.13872214665052,-4.423279028063913
59,Fortaleza del Monte Hacho,/es/lugares-interes/fortaleza-monte-hacho/,Ceuta,Ceuta,Ceuta,"El Monte Hacho es un importante promontorio que domina la ciudad, por ello se trata de un lugar estratégico, ya que él mismo constituye un fortín debido a su altitud. En él se asientan los Fuertes de Hacho y el Desnarigado, actual Museo Militar. El monte está coronado por siete colinas, en una de ellas se encuentra el faro, de ahí su nombre, La Farola. En su cumbre está ubicada la Ermita de San Antonio, lugar donde se celebran romerías populares. En su cima también se puede contemplar el Parque de San Amaro, de gran riqueza botánica.",['Ctra. de circunvalación del Monte Hacho'],35.8981249812905,-5.289501364646809
60,Fortaleza de la Mota,/es/lugares-interes/fortaleza-mota/,Andalucía,Jaén,Alcalá la Real,"En ese estratégico cerro estuvo emplazada una verdadera ciudad andalusí, con mezquita mayor, alcazaba, zona residencial y mercado, cuyos restos han salido a la luz tras varias campañas arqueológicas. De lo conservado sobresale la iglesia abacial de Santa María la Mayor, templo gótico-renacentista (siglos XVI-XVII) que sería abandonado, como el resto del emplazamiento, a partir del siglo XVIII, con el traslado de sus habitantes al llano que hoy ocupa la ciudad. La Alcazaba es un recinto fortificado de planta triangular, reconstruido en el siglo XVI, con torres en sus ángulos, entre las que destaca la del Homenaje, de unos 20 metros de altura. Así mismo, existen todavía algunos lienzos, torreones (Torre de la Cárcel) y puertas (Puerta de la Imagen) del perímetro amurallado, uno de los más extensos de toda Andalucía.  ","['Calle Castillo de la Mota, s/n']",37.460144,-3.929586
61,Forte de San Damián,/es/lugares-interes/forte-san-damian/,Galicia,Lugo,Ribadeo,,"['Ribadeo,', 'Lugo', '(Galicia)']",43.5373554,-7.043029400000001
62,Fuente del Bruxu,/es/lugares-interes/fuente-bruxu/,Principado de Asturias,Asturias,Valdés,"Construida en 1764 por Julio Méndez Camina, es una fuente mural cuadrangular con sillares de granito toda ella excepto las dos hiladas inferiores que son de pizarra donde se sitúan los cuatro caños.","['Calle Nicanor del Campo, s/n']",43.5413055,-6.537791400000001
63,Fuente de los Caños Dorados,/es/lugares-interes/fuente-canos-dorados/,Andalucía,Granada,Baza,"Está situada en el camino de Lorca, junto a la Puerta del Peso. Fue construida en 1607 y servía como abrevadero para los viajeros que llegaban a Baza. Está constituida por un pilar de cuatro caños tras el que se alza un paño con pilastras toscanas, decorado con heráldica.",['Calle Caños Dorados s/n'],37.42841605226619,-2.84822214769794
64,Fuente de Cibeles,/es/lugares-interes/fuente-cibeles/,Comunidad de Madrid,Madrid,Madrid,"La fuente, lugar de celebración de los grandes triunfos del Real Madrid Club de Fútbol, estuvo en un principio situada al inicio del paseo de Recoletos, y fue en 1895 cuando el Ayuntamiento la trasladó al lugar que ocupa en la actualidad. Este conjunto escultórico, de ocho metros de altura y 32 de diámetro, cuenta con numerosos edificios de importancia a su alrededor, como el Banco de España, el palacio de Buenavista, el palacio de Linares (actual Casa de América), y el palacio de Comunicaciones.","['Plaza de la Cibeles, s/n.']",40.41935802275217,-3.6930604834326552
65,Fuente Don Suero,/es/lugares-interes/fuente-don-suero/,Castilla y León,León,Vega de Valcarce,"Se trata de una moderna construcción que sustituye a la antigua Fuente de Quiñones, que según la tradición local está relacionada con Don Suero, el justador del Passo Honroso.","['24524', 'Las Herrerías,', 'Vega de Valcarce,', 'León', '(Castilla y León)']",42.66653315501769,-6.981468200683594
